"name","description","category_id","price","created_by"
Cable Management Box,Cable Management Box,2,100.00,1
Drawer Black,Drawer Black,3,25.00,1
Three-Seat Sofa,Three-Seat Sofa,4,1500.00,1
Office Design Software,Office Design Software,5,280.00,1
Individual Workplace,Individual Workplace,3,885.00,1
Virtual Interior Design,Virtual Interior Design,5,30.75,1
Virtual Home Staging,Virtual Home Staging,5,38.25,1
Flipover,Flipover,2,1950.00,1
Desk Stand with Screen,Desk Stand with Screen,4,2100.00,1
Four Person Desk,Four Person Desk,5,2350.00,1
Large Meeting Table,Large Meeting Table,3,4000.00,1
Office Chair,Office Chair,2,70.00,1
Office Lamp,Office Lamp,4,40.00,1
Corner Desk Right Sit,Corner Desk Right Sit,5,147.00,1
Large Cabinet,Large Cabinet,4,320.00,1
Storage Box,Storage Box,4,15.80,1
Large Desk,Large Desk,4,1799.00,1
Pedal Bin,Pedal Bin,4,47.00,1
Cabinet with Doors,Cabinet with Doors,4,140.00,1
Office Chair Black,Office Chair Black,4,120.50,1
Corner Desk Left Sit,Corner Desk Left Sit,4,85.00,1
Acoustic Bloc Screens,Acoustic Bloc Screens,4,295.00,1
Drawer,Drawer,4,110.50,1
Conference Chair,Conference Chair,4,33.00,1
Hotel Accommodation,Hotel Accommodation,3,400.00,1
Desk Combination,Desk Combination,4,450.00,1
Restaurant Expenses,Restaurant Expenses,3,14.00,1
Deposit,Deposit,5,150.00,1
Customizable Desk,Customizable Desk,4,750.00,1
